"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","AMBIENT_TEMPERATURE_RANGE_HIGH","AMBIENT_TEMPERATURE_RANGE_LOW","ANUNDA_CODE","CLASSNAME","CODE_IPC","CODE_JEDEC","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","DATASHEET","DATASHEETVERSION","DIGI-KEY","DIGIKEY_DESCRIPTION","DIGIKEY_PART_NUMBER","DIGIKEY_PN:","LATESTREVISIONDATE","LATESTREVISIONNOTE","MF","MFG","MFG P/N","MFG_PACKAGE_IDENT","MFR_NAME","MP","MPN","NOTEPAD","PACKAGE","PACKAGEDESCRIPTION","PACKAGEREFERENCE","PACKAGETOPMARKING","PACKAGEVERSION","PACKAGING","PACKING","PART DESCRIPTION","PCB DECAL","PINCOUNT","PINS","POWERWISE","PREFIX","PRICE","PUBLISHED","PUBLISHER","RADIATION HARDENING","RAM_SIZE","REACH SVHC","REFDES","REPLACEMENT","ROHS","ROHSCOMPLIANT","SET POSITION","SIM NOTE","SNAPEDA_LINK","STANDOFF_HEIGHT","SUPPLIER","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIERSPARTNUMBER","SUPPLY VOLTAGE(VCC) MAX (V)","SUPPLY VOLTAGE(VCC) MIN (V)","SYMBOLNAME_1","SYMBOLNAME_2","TEMPERATURE_RANGE_HIGH","TEMPERATURE_RANGE_LOW","TEXT","TYPE","UNITPRICE","VALUE","VERIFICATION_VERSION","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"BU33SD5WG","SOT-23-5","","","","","","M2160","","","","=Value","","","","","","","","","","","","Rohm Semiconductor","BU33SD5WG-TR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","BU33SD5WG-TR","","","*","U?","CMOS LDO Regulators 1Ch 3.3V/500mA Accuracy ?2%, for Portable Equipment"
"Brd_BME280","BRD_BME280_PL850","","","","","","","","","","Brd_BME280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Module BME280"
"Brd_GY9250","BRD_GY9250","","","","","","","","","","Brd_GY9250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Module GY9250"
"CASTELLPIN","CASTELLPIN","","","","","","","CASTELLPIN","","","=TEXT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","CTP?","Edge Castellation PCB pin"
"CH340G_[C14267]","SOIC-16_150mil","","","","","","","","","","CH340G","","","","","","","","","","","","","","","","","","","SOIC-16_150mil","","","","","","","","","","","","","","","","","","","","","","","","","","","LC","","","","","","","","","C14267","","","","","","","","","","","","","*","U?","USB"
"CP2102-GMR_[C6568]","QFN-28_5x5x05P","","","","","","","","","","CP2102-GMR","","","","","","","","","","","","","","","","","","","QFN-28_5x5x05P","","","","","","","","","","","","","","","","","","","","","","","","","","","LC","","","","","","","","","C6568","","","","","","","","","","","","","*","U?","USB"
"CP2104-F03-GM_[C47742]","QFN-24_4x4x05P","","","","","","","","","","CP2104-F03-GM","","","","","","","","","","","","","","","","","","","QFN-24_4x4x05P","","","","","","","","","","","","","","","","","","","","","","","","","","","LC","","","","","","","","","C47742","","","","","","","","","","","","","*","U?","USB"
"DALC208","SOT23-6","","","","","","M1349","","","","=Value","","","","","","","","","","","","STMicroelectronics","DALC208SC6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DALC208SC6","","","*","U?","Diode DALC208SC6 Diode suppresssor 9V SOT23-6"
"ELS61","ELS61","","","","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ELS61","","","*","U?",""
"ESIM","MFF2-eSIM","","","","","","","","","","ESIM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","P?","MFF2 5x6 mm eSIM QFN-8"
"ESP32_DEVKIT","ESP32_DEV_KIT","","","","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ESP32_DEVKIT_V1","","","*","U?",""
"ESP32_WROOM_32U","ESP32","","","","","","N2700","","","","ESP32-WROOM-32U","","","","","","","","","","","","","ESP32-WROOM-32D","","","","","","","","","","","","","","","","","","","","","","","","","","ESP32-WROOM-32D (ES:1082-0002-1)","","","","","","","ES:1082-0005-7","","","","","","","","","","","","","","","","","","131.80 THB","","","","","U?","Espressif Systems ESP32-WROOM-32U Module"
"FIDU31","FIDUCIAL_13","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","FD?",""
"FIL_SAW400","SAW3X3","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"FT231XQ-R","QFN20","","","","","","D0963","","","","FT231XQ-R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC FT231XQ-R USB to Serial UART Interface w/ Dull Modem CTRL"
"FT234XD","DFN12_3x3","","","","","","","","","","FT234XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U2","M1728 IC FT234XD-R USB to Serial UART 12DFN"
"GPS_ANT25","GPS_ANT25BACK","","","","","","","","","","GPS_ANT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","GNSS active antenna 25x25 mm"
"Gain_block1","SOT-89-MB3_M","","","","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"ICL7660","SOIC127P600X175-8N","","","","","","M2075","","","","=Value","","","","","","","","","","","","","ICL7660CSA+-ND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICL7660CSA+","","","*","U?","IC ICL7660CSA+ Regulator Charge Pump INV 20mA 8-SO"
"L7805CD2T","D2PAK","","","","","","M0693","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L7805CD2T-TR","","","","U3","IC 7805 Regulator 5V D2PAK"
"LARA-R2","SARA_LARA","","","","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LARA-R2","","","*","U?","LARA MODULE UBLOX"
"LDL212PVR","DFN6_2x2","","","","","","M1927","","","","LDL212PVR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC LDL212PVR Regulator LIN 1.18V 1.2A 6-WFDFN"
"LF353D","SOIC-8_150mil","","","","","","M2071","","SOIC127P600-8","","=Value","","","","Aug-1994","","","","","13-Apr-2006","IPC-7351 Footprint Added.","","","","","","","","","","8-Pin Small Outline Integrated Circuit 1.27 mm Pitch","D008","","Jan-1998","","","","","","","","","","16-Jan-2001","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LF353DR","","","","U?","IC LF353DR J-FET OP-AMP 2 Circuit 8-SOIC"
"LM1117MPX-3.3","SOT223-3","","","","","","M2121","","","","LM1117MPX-3.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","IC LM1117MPX-3.3/NOPB Reg LDO 3.3V 800mA SOT-223"
"LMV431ACM5/NOPB","SOT235","MF05A_L","MF05A_M","","","","","","","","LMV431ACM5/NOPB","","","","May-2005","","","","","","","","","LMV431ACM5/NOPB","","","","","","","Molded SOT-23, .115 x .063 x .040 in Body, 5 Lead, .0375 in Pitch","MF05A","N09A*XTT","revD, Aug-2008","","","","","5","","N","","","1-Mar-2010","Altium Limited","","","","","","Y","","","","","","","Digi-Key","Digi-Key","Digi-Key","ES","LMV431ACM5/NOPBTR-ND","LMV431ACM5/NOPBCT-ND","LMV431ACM5/NOPBDKR-ND","0086-0744-1","","","","","","","","","","","","","","","U?","Low-Voltage (1.24V) Adjustable Precision Shunt Regulators, 5-pin SOT-23, Pb-Free"
"LPC11U68JBD100","LQFP100_N","","","","","","M1948","","","","LPC11U68JBD100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC LPC11U68JBD100 MCU 32bit ARM 256KB Flash USB 100pins LQFP-100"
"LPC11U68JBD48","LQFP-48_N","","","","","","","","","","LPC11U68JBD48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","LPC11U68JBD48  Cortex-M0+  NXP MCU"
"LPC1768FBD100","NXP-SOT407-1_V","","","","","","M1200","","","","=Value","","","","Rev. 9.6 , 08/2015","","","","","","","","NXP USA Inc.","LPC1768FBD100K","","","","","","","100-Pin Plastic Low Profile Quad Flat Package, Body 14 x 14 mm","SOT407-1","","","Tray","","","","","4","","","","","","No","","Unknown","","","","true","","","","","","","","","","","","","","","","","","","","","","","","LPC1768FBD100","","18.8 mm","","U?","32-Bit ARM Cortex-M3 Microcontroller, Ethernet, USB 2.0 Host / Device / OTG, CAN, 512 KB Flash, 64 KB SRAM, -40 to 85 degC, 100-Pin LQFP (SOT407-1), RoHS, Tray"
"LPC1768MBED_MODULE","LPC_mini","","","","","","","","","","LPC1768MBED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?","LPC1768 MBED MODULE"
"Linkit7688","Linkit7688Duo","","","","","","N2073","","","","Board Linkit7688","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Linkit Smart 7688 (102110018) Controller"
"Linkit7688duo","Linkit7688Duo","","","","","","","","","","Board Linkit7688duo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?",""
"MAX-8Q","MAX-8Q","","","","","","N2035","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MAX-8Q","","","*","U?","GNSS Module, Model : MAX-8Q with GPS, Ublox"
"MAX3232CSE","SOIC16N_N","","","","","","M1363","","SOIC127P600-16","MS-012-AC","MAX3232CSE","","","","Mar-1999","","","","","13-Apr-2006","IPC-7351 Footprint Added.","","Analog Devices Inc","MAX3232CSE+T","","","","","","","16-Pin Small Outline Integrated Circuit 1.27 mm Pitch","NSO16","","","","","","","","","","","","16-Jan-2001","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U2","3.0V TO 5.5V, Low-Power, up to 1Mbps, True RS-232 Transceiver Using Four 0.1µF External Capacitor"
"MCP121T","SOT23_N_2","","","","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MCP121T-300E/LB","","","*","U?","MCP121T-300E/LB Micropower Voltage Supervisor 2.93V,Active LOW"
"MCP16251","SOT23-6","","","","","","","","","","MCP16251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Low Quiescent Current, PFM/PWM Synchronous Boost Regulator sot23-6"
"MCP23017T-E/SO","SOIC-SO28_N","","","","","","M1934","","","MS-013","MCP23017T-E/SO","","","","revB, Feb-2007","","","","","","","","","","","","","","","","28-Lead Plastic Small Outline (SO) - Wide 7.50mm Body [SOIC]","SOIC-SO28","","revBB, Aug-2009","","","","","","","","","","","Altium Limited","","","","","","","","","","","","","Digi-Key","Newark","","","MCP23017T-E/SO-ND","31K2962","","","","","","","","","","","","","","","","","U?","16-Bit I/O Expander with Serial Interface, 28-Pin SOIC, Extended Temperature, Tape and Reel"
"MCP73831T-2ACI/OT","SOT235","","","","","","","","SOT23-5","","MCP73831T-2ACI/OT","","","","revE, Sep-2008","","","","","27-Nov-2009","Updated to datasheet revision E, Sep-2008","","","","","","","","","","5-Lead Plastic Small Outline Transistor (OT) [SOT-23]","SOT-23-OT5","","revBB, Aug-2009","","","","","","","","","","29-Jan-2009","Altium Limited","","","","","","","","","","","","","Digi-Key","Digi-Key","Digi-Key","Farnell","MCP73831T-2ACI/OTTR-ND","MCP73831T-2ACI/OTCT-ND","MCP73831T-2ACI/OTDKR-ND","1332158","","","","","","","","","","","","","","","U?","Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controller, 4.2V, 5-Pin SOT-23, Industrial Temperature, Tape and Reel"
"MCP73833T","MSOP10","","","","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MCP73833T-AMI/UN","","","*","U?","MCP73833T Stand-Alone Linear Li-Ion / Li-Po Charge
Management Controller"
"MK22FN512VLH12","LQFP64","","","","","","M2051","","","","K22F","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC MK22FN512VLH12 MCU 32-Bit 512KB Flash 64LQFP ARM Cortec-M4"
"MK22FN512VLH12X","LQFP64_WFID","","","","","","M2051","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MK22FN512VLH12","","","","U?","IC MK22FN512VLH12 MCU 32-Bit 512KB Flash 64LQFP ARM Cortec-M4"
"MTH_M3","PTH_M3","","","","","","","","","","MTH_M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","MTH?","Mounting Hole M3 diameter 3.2mm"
"MX25R1635FM2IH1","SOIC-8_208mil","","","","","","M1945","","","","MX25R1635FM2IH1","","","","","","","","","","","","Macronix","MX25R1635FM2IL0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","NOR-Flash Macronix MX25R1635FM2IH1"
"Modem_ICS","Modem1_ICS","","","","","","","","","","Modem_ICS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","U?",""
"NTC_10K","NTC1X2","","","","","","","","","","Thermister_10k","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","","","","","","","","","","","","","","Altium Limited","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","NT?","NTC 10K , 2-Pin"
"PCA9306","TSSOP8","","","","","","M1920","","","","PCA9306","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","U?","IC VOLT-LVL TRANSL PCA9306DTR2G Translator TSSOP-8"
"RPOT_25T_104","3296W","","","","","","*","","","","=Value","","","","","","","","","17-Jul-2002","Re-released for DXP Platform.","","","","","","","","","","","VR5","","","","","","","","","","","","8-Jun-2000","Altium Limited","","","","","","","","0.5","Enter the Resistance value and the set point into parameter fields.","","","","","","","","","","","","","","","","","","","","","","100K/25T","","","","R?","Potentiometer 100 kOhm 25T Top Adj."
